Ticker,Name,Market Cap (USD),52 Week High (USD),52 Week Low (USD),Revenue Q-0 (USD),Revenue Q-1 (USD),Revenue Q-2 (USD),Revenue Q-3 (USD),Revenue Q-4 (USD),Net Income Q-0 (USD),Net Income Q-1 (USD),Net Income Q-2 (USD),Net Income Q-3 (USD),Net Income Q-4 (USD),Rank
AAPL,Apple Inc.,4138242670592,280.38,169.21,102466000000,94036000000,95359000000,124300000000,94930000000,27466000000,23434000000,24780000000,36330000000,14736000000,1
NVDA,NVIDIA Corporation,4316597583872,212.19,86.62,57006000000,46743000000,44062000000,39331000000,35082000000,31910000000,26422000000,18775000000,22091000000,19309000000,2
MSFT,Microsoft Corporation,3657192177664,555.45,344.79,77673000000,76441000000,70066000000,69632000000,65585000000,27747000000,27233000000,25824000000,24108000000,24667000000,3
GOOGL,Alphabet Inc.,3878058983424,328.83,140.53,102346000000,96428000000,90234000000,96469000000,88268000000,34979000000,28196000000,34540000000,26536000000,26301000000,4
AMZN,Amazon.com Inc.,2493172154368,258.6,161.38,180169000000,167702000000,155667000000,187792000000,158877000000,21187000000,18164000000,17127000000,20004000000,15328000000,5
META,Meta Platforms Inc.,1633175863296,796.25,479.8,51242000000,47516000000,42314000000,48385000000,40589000000,2709000000,18337000000,16644000000,20838000000,15688000000,6
AVGO,Broadcom Inc.,1902924136448,403,138.1,15952000000,15004000000,14916000000,14054000000,13072000000,4140000000,4965000000,5503000000,4324000000,-1875000000,7
TSLA,Tesla Inc.,1430667657216,488.54,214.25,28095000000,22496000000,19335000000,25707000000,25182000000,1373000000,1172000000,409000000,2314000000,2173000000,8
COST,Costco Wholesale Corporation,405156233216,1078.23,871.71,86156000000,63205000000,63723000000,62151000000,79697000000,2610000000,1903000000,1788000000,1798000000,2354000000,9
ASML,ASML Holding N.V.,411436548096,1086.11,578.51,7516000000,7691700000,7741500000,9262800000,7467300000,2124500000,2676200000,2355000000,2693400000,2076500000,10
NFLX,Netflix Inc.,455851245568,134.115,82.11,11510307000,11079166000,10542801000,10246513000,9824703000,2546916000,3125413000,2890351000,1868607000,2363509000,11
