Ticker,Name,Market Cap (USD),52 Week High (USD),52 Week Low (USD),Revenue Q-0 (USD),Revenue Q-1 (USD),Revenue Q-2 (USD),Revenue Q-3 (USD),Revenue Q-4 (USD),Net Income Q-0 (USD),Net Income Q-1 (USD),Net Income Q-2 (USD),Net Income Q-3 (USD),Net Income Q-4 (USD),Rank
RY,Royal Bank of Canada,219473038540.8,155.69,108.9,12211200000,11272320000,12038400000,10845360000,10575360000,3898800000,3157920000,3692880000,3037680000,3227760000,1
TD,The Toronto-Dominion Bank,145907664814.08,84.92,52.72,11147040000,10802880000,10728720000,10614960000,10161360000,2401920000,8012880000,2010960000,2617200000,-130320000,2
SHOP,Shopify Inc.,209230107770.88,182.23,71.51,2047680000,1929600000,1699200000,2024640000,1556640000,190080000,652320000,-491040000,930960000,596160000,3
ENB,Enbridge Inc.,106685324328.96,50.68,40.69,10540080000,10710720000,13321440000,11676240000,10715040000,567360000,1640880000,1702080000,428400000,1001520000,4
CP,Canadian Pacific Kansas City Limited,66907257569.28,85.54,68.11,2635920000,2663280000,2732400000,2789280000,2555280000,662400000,888480000,655200000,864720000,602640000,5
CNR,Canadian National Railway Company,60146417664,112.99,90.8,2998800000,3075840000,3170160000,3137760000,2959200000,820080000,843840000,835920000,825120000,781200000,6
BMO,Bank of Montreal,91973910528,131.69,87.34,6438960000,6250320000,6636240000,5988960000,5870880000,1675440000,1411200000,1536480000,1656720000,1342800000,7
BNS,The Bank of Nova Scotia,86937350307.84,69.93,45.05,6716880000,6429600000,6666480000,6109200000,6086160000,1761840000,1422720000,825840000,1182240000,1350720000,8
BN,Brookfield Corporation,106668113264.64,49.24,29.7,13620240000,13019760000,12919680000,13986720000,14848560000,157680000,195840000,52560000,311040000,46080000,9
CNQ,Canadian Natural Resources Limited,70927291514.88,35.42,25.14,7970400000,6966000000,9152640000,7966080000,7488720000,432000000,1770480000,1769760000,819360000,1631520000,10
SU,Suncor Energy Inc.,54893097123.84,46.18,31.38,9766800000,9179280000,9597600000,9833040000,10011600000,1165680000,816480000,1216080000,588960000,1454400000,11
CSU,Constellation Software Inc.,51606043361.28,3816,2272.03,2121840000,2046960000,1910160000,1946160000,1830240000,151200000,40320000,82800000,205200000,118080000,12
TRP,TC Energy Corporation,56588758548.48,55.97,44.76,2666880000,2695680000,2608560000,979200000,2939760000,458640000,619920000,724320000,719280000,1067760000,13
MFC,Manulife Financial Corporation,60016532520.96,35.89,26.59,12462480000,29610000000,6511680000,3036960000,10491840000,1288080000,1349280000,401040000,1213200000,1393920000,14
ATD,Alimentation Couche-Tard Inc.,51694469775.36,60.29,47.48,12863592000,12489768000,11714760000,15050520000,12531816000,533232000,563400000,316368000,461808000,510336000,15
SLF,Sun Life Financial Inc.,33425411604.48,65.6,53.68,8927280000,6621840000,8163360000,2358000000,11073600000,844560000,560160000,720720000,102240000,1023840000,16
WCN,Waste Connections Inc.,46003502776.32,205,164.95,1770032160,1733079600,1604286720,1627403760,1683711360,206115120,208998720,173887200,-141122880,221793120,17
NTR,Nutrien Ltd.,28441708462.08,63.38,45.28,4325040000,7515360000,3672000000,3656880000,3850560000,334080000,879120000,7920000,81360000,12960000,18
CM,Canadian Imperial Bank of Commerce,80870155223.04,88.24,54.84,5202000000,5029920000,5221440000,4750560000,4740480000,1507680000,1438560000,1557360000,1349280000,1285920000,19
ABX,Barrick Mining Corporation,71770474414.08,42.18,15.65,2986560000,2650320000,2253600000,2624400000,2424960000,937440000,583920000,341280000,717120000,347760000,20
AEM,Agnico Eagle Mines Limited,88175485255.68,189.53,79.7,2202860880,2027592720,1777138560,1601064000,1552038480,759569760,769471920,586606320,366663600,408324960,21
WPM,Wheaton Precious Metals Corp.,50168252989.44,115.52,57.51,342905040,362316960,338695920,273971520,221942160,264395520,210434400,182868480,63465840,111337200,22
FNV,Franco-Nevada Corporation,40550276136.96,226.46,119.06,351144000,265968000,265248000,231120000,198504000,207000000,177912000,151056000,126288000,109944000,23
FFH,Fairfax Financial Holdings Limited,38529627586.56,1816.08,1322.58,5434704000,5774616000,5385096000,5541408000,5798232000,829224000,1034424000,680904000,829584000,742176000,24
FTS,Fortis Inc.,26658434580.48,53.28,41.75,2115360000,2026800000,2403360000,2123280000,1995120000,310320000,290880000,374400000,298800000,316080000,25
T,TELUS Corporation,20441030492.16,16.77,13.06,3648240000,3622320000,3612960000,3838320000,3630240000,354960000,5040000,231120000,257760000,201600000,26
RCI-B,Rogers Communications Inc.,21403226603.52,40.43,23.34,3850560000,3755520000,3582720000,3946320000,3692880000,4142880000,113040000,201600000,401760000,378720000,27
IMO,Imperial Oil Limited,51201777991.68,101.64,59.75,8362080000,7801920000,8549280000,8582400000,9038880000,388080000,683280000,927360000,882000000,890640000,28
DOL,Dollarama Inc.,39768490967.04,147.13,95.31,1241163360,1095271200,1354568400,1125103680,1125636480,231478560,197104320,281486880,198580320,205878240,29
TRI,Thomson Reuters Corporation,61508055859.2,215.45,133.2,1283040000,1285200000,1368000000,1374480000,1241280000,304560000,225360000,312480000,422640000,216720000,30
L,Loblaw Companies Limited,52727558307.84,45.67,31.19,13964400000,10563840000,10177200000,10762560000,13347360000,571680000,514080000,362160000,337680000,561600000,31
WN,George Weston Limited,26379486167.04,70.15,51.27,14074560000,10672560000,10285200000,10869840000,13453200000,353520000,192960000,66960000,485280000,20880000,32
IFC,Intact Financial Corporation,36512848281.6,228.49,180.2,4822560000,4557600000,4610160000,4418640000,4895280000,619920000,624240000,486720000,480240000,149040000,33
GWO,Great-West Lifeco Inc.,43138860318.72,47.15,32.32,7482240000,7601760000,2283840000,11402640000,5922000000,667440000,642240000,827280000,641520000,747360000,34
MRU,Metro Inc.,15502056652.8,78.62,63.19,3678264000,4947120000,3535128000,3684312000,3555648000,155520000,232416000,157968000,186336000,157968000,35
POW,Power Corporation of Canada,32635439677.44,52.19,30.15,9407520000,8618400000,6742080000,-1830960000,12329280000,515520000,565200000,505440000,645840000,276480000,36
PPL,Pembina Pipeline Corporation,22657739489.28,42.62,34.81,1289520000,1290240000,1664640000,1544400000,1327680000,205920000,300240000,361440000,411840000,275760000,37
WSP,WSP Global Inc.,22987476172.8,209.85,156.54,3245976000,3160008000,3358728000,2868408000,2831688000,201168000,103752000,120168000,146592000,132552000,38
CCO,Cameco Corporation,38857475358.72,110.58,35.82,442479600,631451520,568391040,851884560,518829120,-101520,231039360,50230080,97540560,5347440,39
QSR,Restaurant Brands International Inc.,33249531985.92,73.98,59.99,1763280000,1735200000,1518480000,1653120000,1649520000,226800000,136080000,114480000,186480000,181440000,40
GIB-A,CGI Inc.,19977565962.24,126.25,84.75,2889962640,2944931040,2896854480,2725376400,2635481520,274575600,294200640,309411360,315777600,313864560,41
TOU,Tourmaline Oil Corp.,17922620620.8,51,39.89,1029682080,1305336240,1092592800,915923520,940823280,370505520,153128160,293360400,255738960,184749840,42
TECK-B,Teck Resources Limited,20911997583.36,48.79,28.97,2437200000,1456560000,1648800000,2005920000,2057760000,202320000,148320000,266400000,287280000,-503280000,43
H,Hydro One Limited,23639081287.68,39.94,30.61,1655280000,1487520000,1733760000,1508400000,1578240000,303120000,235440000,257760000,144000000,267120000,44
EMA,Emera Incorporated,14683301314.56,50.13,36.89,1516320000,1431360000,1926720000,1269360000,1297440000,177840000,110880000,432720000,124560000,15840000,45
SAP,Saputo Inc.,11697593794.56,28.55,16.26,3399120000,3334320000,3422160000,3595680000,3389760000,133200000,118800000,53280000,-372960000,90720000,46
X,TMX Group Limited,10274839511.04,41.75,30.58,303624000,301752000,283176000,254736000,264312000,53352000,76248000,114696000,59544000,72000000,47
WFG,West Fraser Timber Co. Ltd.,4886057779.2,99.42,58.19,941040000,1103040000,1050480000,1011600000,1034640000,-146880000,-17280000,30240000,-44640000,-59760000,48
MG,Magna International Inc.,13876759756.8,51.22,31.14,7532640000,7654320000,7249680000,7652160000,7401600000,219600000,272880000,105120000,146160000,348480000,49
OTEX,Open Text Corporation,8615231815.68,40.32,23.34,927457200,943586640,903141360,960840000,913683600,105563520,20759760,66819600,165500640,60744960,50
CVE,Cenovus Energy Inc.,33860173824,18.98,10.43,9500400000,9316800000,10227600000,10940400000,10259280000,925920000,612720000,618480000,105120000,590400000,51
ARX,ARC Resources Ltd.,10473805578.24,22.72,16.29,1106208000,1292688000,1128528000,963144000,920880000,285192000,291384000,266616000,236808000,172440000,52
K,Kinross Gold Corporation,34556865085.44,28.49,9.34,1297512000,1244520000,1078200000,1019376000,1031040000,421128000,382104000,264960000,198432000,255816000,53
