Ticker,Name,Market Cap (USD),52 Week High (USD),52 Week Low (USD),Revenue Q-0 (USD),Revenue Q-1 (USD),Revenue Q-2 (USD),Revenue Q-3 (USD),Revenue Q-4 (USD),Net Income Q-0 (USD),Net Income Q-1 (USD),Net Income Q-2 (USD),Net Income Q-3 (USD),Net Income Q-4 (USD),Revenue
ASME,ASML Holding N.V.,406947180052.48,1087.5,593.34,8718560000,8922372000,8980140000,10744848000,8662068000,2464420000,3104392000,2731800000,3124344000,2408740000,1
SAP,SAP SE,281738752163.84,328.86,234.67,10528160000,10471320000,10455080000,10877320000,9825200000,2324640000,1968520000,2064800000,1857160000,1697080000,2
ZEG,AstraZeneca PLC,286651221278.72,187.92,128.76,17621560000,16770120000,15762080000,17273560000,15735400000,2938280000,2842000000,3382560000,1740000000,1657640000,3
SIE,Siemens Aktiengesellschaft,207417922027.52,293.07,188.36,22477320000,22918120000,21289480000,24140760000,21924000000,2373360000,2611160000,4297800000,2204000000,2296800000,4
IXD1,Industria de Diseño Textil, S.A.,174278440386.56,65.17,47.42,11696280000,9597840000,13003600000,10854120000,11501400000,1723760000,1513800000,1643720000,1949960000,1709840000,5
ALV,Allianz SE,166507268014.08,441.15,332.46,46147120000,38384400000,31233000000,41677640000,41045440000,3302520000,3295560000,2810680000,2867520000,2866360000,6
SNW,Sanofi,121015457218.56,128.55,89,15277200000,12452600000,12302960000,8851960000,15053320000,3250320000,4570400000,2171520000,578840000,3265400000,7
AIR,Airbus SE,187393980497.92,251.55,150.59,20678160000,18638880000,15708720000,28670560000,18199240000,1294560000,849120000,919880000,2811840000,1140280000,8
2FE,Ferrari N.V.,69420809584.64,567.59,373.52,2048740960,2073561480,2077270000,2013227560,1907549240,442335840,492148560,477505880,445690560,434040680,9
ENL,Enel SpA,104163200532.48,10.55,7.58,18736320000,15178600000,25604680000,18838400000,20782560000,2097280000,1648360000,2328120000,1329360000,2002160000,10
MUV2,Munich Munich Re Group,82922701783.04,714.33,551.12,19112160000,18562320000,19018200000,-9477200000,19345320000,2323480000,2409320000,1267880000,1149560000,1078800000,11
ABJ,ABJ Autoservice,130685871718.4,75.14,20.44,10324000000,9204600000,9964400000,9455160000,9557240000,1335160000,1278320000,1144920000,1098520000,1271360000,12
BPE5,BP p.l.c.,92287119196.16,6.56,4.4,56167200000,54087320000,54409800000,53072320000,54814640000,1346760000,1889640000,796920000,-2272440000,238960000,13
DTE,Deutsche Telekom AG,160319381831.68,41.66,30.16,33354640000,33060000000,34296560000,129582440000,32883680000,2815320000,3033400000,3300200000,4851120000,3430120000,14
MBG,Mercedes-Benz Group AG,64962874572.8,73.28,52.9,38457480000,38539840000,44602000000,40052480000,42621880000,1061400000,1946480000,2881440000,2010280000,3498560000,15
BAYN,Bayer Aktiengesellschaft,34741070069.76,36.48,21.32,11205600000,12457240000,15936080000,13605640000,11562880000,-1117080000,-230840000,1506840000,-388600000,-4852280000,16
BAS,BASF SE,46486127902.72,63.87,43.38,18292040000,20186320000,18394120000,18257240000,18688760000,91640000,937280000,-911760000,332920000,498800000,17
BMW,Bayerische Motoren Werke Aktiengesellschaft,62252827115.52,106.4,73.03,39355320000,39159280000,42242560000,37590960000,42855040000,2032320000,2432520000,1736520000,451240000,3031080000,18
DHL,Deutsche Post AG,59970482831.36,53.06,35.91,22998160000,24138440000,26336640000,23886720000,23941240000,945400000,911760000,1272520000,871160000,863040000,19
IFX,Infineon Technologies AG,54759989411.84,45.74,26.88,4296640000,4164400000,3971840000,4546040000,4294320000,353800000,269120000,285360000,-96280000,467480000,20
ADS,adidas AG,33221556633.6,306.01,174.46,7690800000,6904320000,7137480000,6919400000,7468080000,534760000,428040000,496480000,-45240000,513880000,21
DB1,Deutsche Börse AG,49138664898.56,341.39,234.2,2089276000,2165372000,2154004000,1976756000,2025360000,590092000,608884000,588584000,516084000,578376000,22
EOAN,E.ON SE,46528467271.68,19.2,12.1,18513600000,18952080000,29250560000,27648600000,19440440000,-59160000,510400000,613640000,2416280000,111360000,23
RWE,RWE Aktiengesellschaft,37515610112,54.46,32.2,3720120000,4259520000,7407760000,9593200000,5500720000,981360000,769080000,917560000,-39440000,1359520000,24
HNR1,Hannover Rück SE,36288160399.36,339.42,276.08,6725216000,5659988000,7213460000,-18149592000,6608868000,754928000,966860000,557380000,584988000,769428000,25
CON,Continental Aktiengesellschaft,14973728112.64,91.27,61.6,5742000000,5632960000,5689800000,11710200000,5793040000,-876960000,586960000,78880000,498800000,563760000,26
SHL,Siemens Healthineers AG,55735039754.24,67.84,47.53,6567920000,6854440000,6359120000,7341640000,6290680000,640320000,614800000,549840000,714560000,544040000,27
P911,Porsche AG,47173763727.36,73.45,45.91,10786840000,10275280000,13360880000,10564120000,12117360000,240120000,599720000,959320000,709920000,1422160000,28
PAH3,Porsche Automobil Holding SE,13190432235.52,46.83,35.33,1531200000,1749280000,-1208720000,-26204400000,530120000,1046320000,1646040000,-1253960000,-26127840000,435000000,29
VOW3,Volkswagen AG,58177096253.44,132.47,91.9,93734960000,89968440000,101358480000,91034480000,96673240000,2708600000,2299120000,3811760000,1563680000,3756080000,30
DTG,Daimler Truck Holding AG,32141251788.8,52.58,35.7,13541840000,14442000000,16646000000,14125320000,14413000000,321320000,893200000,866520000,707600000,860720000,31
